rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
399,351,5,3.5,0.5,3,0.05,0.15,-0.96340037,9903.65996326,-1.44401596,588,116.98639021,-0.02866666,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
400,122,3,3.5,0.4,4,0.03,0.3,-0.96391878,9903.60812214,-1.31651709,691,82.11857362,-0.01803867,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
401,377,5,3.5,0.6,4,0.08,0.15,-0.9645788,9903.54211986,-1.07115713,452,137.07878858,-0.0274274,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
402,557,8,3.5,0.4,4,0.08,0.15,-0.96987255,9903.01274523,-1.24892626,408,123.96263175,-0.02728602,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
403,370,5,3.5,0.6,3,0.05,0.3,-0.97122845,9902.8771547,-2.01396803,869,172.29730385,-0.01586453,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
404,56,3,3,0.4,2,0.03,0.3,-0.97221354,9902.77864623,-1.40234097,1184,140.6174124,-0.01951221,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
405,433,8,2.5,0.4,2,0.03,0.15,-0.9722658,9902.77341956,-1.28227244,1049,125.5519323,-0.0326805,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
406,829,13,4,0.5,2,0.03,0.15,-0.97278488,9902.72151173,-1.17641996,795,94.88647471,-0.0288887,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
407,297,5,3,0.5,3,0.05,0.15,-0.97913248,9902.08675243,-1.44920091,596,118.57382275,-0.02976252,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
408,488,8,3,0.4,2,0.03,0.3,-0.97926807,9902.07319253,-1.79953545,1276,151.28054708,-0.01749779,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
