rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
736,728,13,3,0.5,3,0.03,0.3,-15.8911969,8410.88031035,-15.94679962,4508,1740.80966781,-0.26171842,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
737,298,5,3,0.5,3,0.05,0.3,-15.92866352,8407.13364846,-15.92980157,3540,1556.66878275,-0.25869577,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
738,188,3,4,0.5,3,0.03,0.3,-15.94673259,8405.32674089,-15.94816679,4109,1755.495421,-0.25911721,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
739,460,8,2.5,0.5,3,0.05,0.3,-15.95937651,8404.06234868,-15.96310586,3576,1585.79021842,-0.27975423,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
740,536,8,3,0.6,4,0.03,0.3,-15.96824959,8403.17504101,-15.97967376,4230,1610.65140811,-0.2763966,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
741,154,3,3.5,0.6,3,0.05,0.3,-16.03741757,8396.25824326,-16.0460226,3585,1548.78381096,-0.27299746,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
742,84,3,3,0.5,3,0.08,0.3,-16.07260574,8392.73942564,-16.07642444,3071,1523.300463,-0.25039585,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
743,746,13,3,0.6,3,0.03,0.3,-16.08846562,8391.15343839,-16.13646285,4468,1725.2906927,-0.26325898,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
744,82,3,3,0.5,3,0.05,0.3,-16.12053684,8387.94631557,-16.12292221,3461,1575.37646574,-0.28160668,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
745,458,8,2.5,0.5,3,0.03,0.3,-16.18726005,8381.27399532,-16.18949246,4340,1711.65724421,-0.2685078,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
746,368,5,3.5,0.6,3,0.03,0.3,-16.18881671,8381.11832919,-16.21165029,4280,1717.55281743,-0.27011433,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
747,478,8,2.5,0.6,3,0.05,0.3,-16.20347432,8379.65256826,-16.20615599,3721,1612.66468461,-0.2857276,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
748,584,8,3.5,0.6,3,0.03,0.3,-16.25026721,8374.97327943,-16.25541842,4436,1757.37589851,-0.26773884,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
