time_utc,time_ms,equity,cash,drawdown_pct,close_BTC,position_BTC,notional_BTC
2026-07-05T04:16:00+00:00,1783224960000,10000.0,10000.0,0.0,62794.0,0.0,0.0
2026-07-05T04:17:00+00:00,1783225020000,10000.0,10000.0,0.0,62802.0,0.0,0.0
2026-07-05T04:18:00+00:00,1783225080000,10000.0,10000.0,0.0,62812.0,0.0,0.0
2026-07-05T04:19:00+00:00,1783225140000,9997.592077820764,-4.0,-0.024079221792361327,62821.0,0.1592077820763879,10001.592077820764
2026-07-05T04:20:00+00:00,1783225200000,10000.136783566377,-0.0015999999995196877,0.0,62837.0,0.15914410910079055,10000.138383566376
2026-07-05T04:21:00+00:00,1783225260000,10002.046512875586,-0.0015999999995196877,0.0,62849.0,0.15914410910079055,10002.048112875586
2026-07-05T04:22:00+00:00,1783225320000,10000.614215893678,-0.0015999999995196877,-0.014320039204618329,62840.0,0.15914410910079055,10000.615815893678
2026-07-05T04:23:00+00:00,1783225380000,10000.773360002779,-0.0015999999995196877,-0.012728923737437281,62841.0,0.15914410910079055,10000.774960002778
2026-07-05T04:24:00+00:00,1783225440000,9996.773050018777,9996.773050018777,-0.052723838566637315,62873.0,0.0,0.0
2026-07-05T04:25:00+00:00,1783225500000,9992.2973424187,-3.9987092200075107,-0.09747175684832188,62870.0,0.15899946002288387,9996.296051638708
2026-07-05T04:26:00+00:00,1783225560000,9990.388449056874,-0.0015994836875462192,-0.11655678469105757,62858.0,0.15893585619237904,9990.390048540561
2026-07-05T04:27:00+00:00,1783225620000,9986.392293037457,9986.392293037457,-0.15651016837381349,62864.0,0.0,0.0
2026-07-05T04:28:00+00:00,1783225680000,9986.392293037457,9986.392293037457,-0.15651016837381349,62864.0,0.0,0.0
2026-07-05T04:29:00+00:00,1783225740000,9982.397736120243,-3.994556917214983,-0.1964475643064567,62864.0,0.1588570929790891,9986.392293037457
2026-07-05T04:30:00+00:00,1783225800000,9978.561972753168,9978.561972753168,-0.2347973496442557,62875.0,0.0,0.0
2026-07-05T04:31:00+00:00,1783225860000,9978.696871801707,-3.9914247891012673,-0.23344863517502645,62901.0,0.1587047629861339,9982.688296590808
2026-07-05T04:32:00+00:00,1783225920000,9985.834070559167,-0.001596569915505114,-0.16209125098096688,62946.0,0.15864130631222131,9985.835667129082
