rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
130,1277,1,8,4,0.65,0.3,0.1,0.2,-0.42276501,9957.72349871,-1.39627999,107,100.03177931,-0.00891924,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
131,931,1,5,4,0.5,0.5,0.05,0.1,-0.4259183,9957.40817024,-0.9144804,134,71.91648547,-0.01442252,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
132,1168,1,8,3,0.5,0.3,0.1,0.1,-0.43319717,9956.68028325,-0.94254108,144,67.16444831,-0.01455547,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
133,613,1,3,4,0.5,0.8,0,0.1,-0.43480857,9956.51914346,-0.99972757,176,92.00384863,-0.01215222,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
134,965,1,5,4,0.65,0.8,0,0.2,-0.43664592,9956.33540848,-1.82714765,146,157.27851577,-0.00558623,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
135,1282,1,8,4,0.65,0.5,0.05,0.1,-0.44118915,9955.88108465,-1.03185488,116,54.78004382,-0.01451355,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
136,1150,1,8,3,0.35,0.5,0.1,0.1,-0.44160171,9955.83982894,-1.74689734,138,62.2004723,-0.00634592,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
137,1159,1,8,3,0.35,0.8,0.1,0.1,-0.44707658,9955.29234203,-1.74689734,140,63.01202236,-0.00652395,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
138,938,1,5,4,0.5,0.8,0,0.2,-0.44941124,9955.0588762,-1.69650545,143,152.83405075,-0.00600911,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
139,1272,1,8,4,0.65,0.3,0,0.3,-0.45947557,9954.05244296,-1.82443505,121,170.83418368,-0.00534746,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
140,1281,1,8,4,0.65,0.5,0,0.3,-0.47190699,9952.80930062,-1.88102031,124,177.2263308,-0.00538418,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
141,1244,1,8,4,0.5,0.3,0,0.2,-0.48005575,9951.99442501,-1.17376684,118,121.55009915,-0.00765425,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
142,1141,1,8,3,0.35,0.3,0.1,0.1,-0.48104739,9951.89526087,-1.78582585,135,59.78097603,-0.0071201,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
143,1286,1,8,4,0.65,0.5,0.1,0.2,-0.48772261,9951.22773914,-1.46602229,110,101.64178664,-0.00895025,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
144,1245,1,8,4,0.5,0.3,0,0.3,-0.49285208,9950.71479184,-1.70701724,117,168.49287429,-0.00582283,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
145,1289,1,8,4,0.65,0.8,0,0.2,-0.49312423,9950.68757656,-1.23898942,128,129.43663877,-0.00744556,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
146,922,1,5,4,0.5,0.3,0.05,0.1,-0.49464958,9950.53504183,-1.01783925,131,70.29607551,-0.01711827,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
147,959,1,5,4,0.65,0.5,0.05,0.2,-0.49824897,9950.17510323,-1.53580025,139,140.47975391,-0.00840832,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
