rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
49,412,13,3,0.4,4,0.03,0.3,0.05,20,60,0.3,1.2,30,-0.41359164,9958.64083565,-0.47265488,385,60.00153991,-0.04388725,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
50,454,13,3,0.4,4,0.03,0.3,0.05,20,120,0.8,0.8,30,-0.41789209,9958.210791,-0.52601813,444,87.1091583,-0.03196413,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
51,190,13,3,0.4,4,0.03,0.3,0.03,20,120,0.3,0.4,30,-0.42582649,9957.41735084,-0.49340167,397,65.4494603,-0.04758793,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
52,478,13,3,0.4,4,0.03,0.3,0.05,20,240,0.8,0.4,30,-0.42605798,9957.39420198,-0.46950612,415,83.1173424,-0.03491758,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
53,448,13,3,0.4,4,0.03,0.3,0.05,20,120,0.5,1.2,30,-0.42687103,9957.31289695,-0.5132454,419,76.96004708,-0.03703541,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
54,409,13,3,0.4,4,0.03,0.3,0.05,20,60,0.3,0.8,30,-0.42847493,9957.15250712,-0.49801914,387,60.23254195,-0.04719016,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
55,655,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,1.2,30,-0.43860213,9956.13978747,-0.45335597,241,33.53039594,-0.04988928,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
56,163,13,3,0.4,4,0.03,0.3,0.03,20,60,0.3,0.4,30,-0.44835491,9955.16450899,-0.47287603,393,62.05107166,-0.05536953,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
57,581,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,0.8,60,-0.4507471,9954.92529011,-0.57982356,365,61.23849575,-0.0300626,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
58,582,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,0.8,100,-0.4507471,9954.92529011,-0.57982356,365,61.23849575,-0.0300626,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
59,421,13,3,0.4,4,0.03,0.3,0.05,20,60,0.5,1.2,30,-0.45333596,9954.66640368,-0.47507897,391,63.56887683,-0.04410524,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
60,505,13,3,0.4,4,0.03,0.3,0.1,5,60,0.8,0.4,30,-0.45415133,9954.58486653,-0.49480739,294,48.62832785,-0.03432554,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
61,689,13,3,0.4,4,0.03,0.3,0.1,20,120,0.5,0.8,60,-0.45624795,9954.37520458,-0.47837473,261,37.21882351,-0.04085367,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
62,690,13,3,0.4,4,0.03,0.3,0.1,20,120,0.5,0.8,100,-0.45624795,9954.37520458,-0.47837473,261,37.21882351,-0.04085367,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
63,439,13,3,0.4,4,0.03,0.3,0.05,20,120,0.3,1.2,30,-0.46314043,9953.68595663,-0.5098841,395,70.40683335,-0.04181525,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
64,416,13,3,0.4,4,0.03,0.3,0.05,20,60,0.5,0.4,60,-0.46508256,9953.49174396,-0.55640415,555,88.90363858,-0.04606118,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
65,417,13,3,0.4,4,0.03,0.3,0.05,20,60,0.5,0.4,100,-0.47576093,9952.4239069,-0.56707273,562,90.09612156,-0.04664123,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
