time_utc,time_ms,coin,side,quantity,price,notional,fee,cash_after
2026-07-03T07:42:00+00:00,1783064520000,ETH,buy,5.819705522900541,1718.3,10000.0,4.0,-4.0
2026-07-03T07:59:00+00:00,1783065540000,ETH,sell,11.637085058710312,1719.7,20012.295175464125,8.00491807018565,20000.29025739394
2026-07-03T08:17:00+00:00,1783066620000,ETH,buy,11.635517050086648,1718.9,20000.29025739394,8.000116102957575,-8.000116102957575
2026-07-03T08:19:00+00:00,1783066740000,ETH,sell,11.63161892559545,1718.2,19985.447637958103,7.994179055183241,19969.453342799963
2026-07-03T08:26:00+00:00,1783067160000,ETH,buy,11.614198757008236,1719.4,19969.453342799963,7.987781337119985,-7.987781337119985
2026-07-03T08:31:00+00:00,1783067460000,ETH,sell,11.596786037862987,1718.3,19926.75744885997,7.970702979543988,19910.798964543308
2026-07-03T08:32:00+00:00,1783067520000,ETH,buy,11.57133664470466,1720.7,19910.798964543308,7.964319585817323,-7.964319585817323
2026-07-03T08:53:00+00:00,1783068780000,ETH,sell,11.545909252578753,1721.4,19875.128187389066,7.9500512749556265,19859.213816528292
2026-07-03T09:05:00+00:00,1783069500000,ETH,buy,11.520602051588522,1723.8,19859.213816528292,7.943685526611317,-7.943685526611317
2026-07-03T09:26:00+00:00,1783070760000,ETH,sell,11.495326058487386,1728.6,19870.820624701293,7.948328249880517,19854.928610924802
2026-07-03T09:46:00+00:00,1783071960000,ETH,buy,11.508769192513796,1725.2,19854.928610924802,7.941971444369921,-7.941971444369921
2026-07-03T10:33:00+00:00,1783074780000,ETH,sell,11.522231848431428,1735.6,19997.985596137587,7.9991942384550345,19982.044430454764
2026-07-03T10:34:00+00:00,1783074840000,ETH,buy,11.501781172195225,1737.3,19982.044430454764,7.992817772181906,-7.992817772181906
2026-07-03T11:00:00+00:00,1783076400000,ETH,sell,11.481321014628326,1743.1,20013.090660598635,8.005236264239453,19997.092606562215
2026-07-03T11:14:00+00:00,1783077240000,ETH,buy,11.46556539565519,1744.1,19997.092606562215,7.998837042624886,-7.998837042624886
2026-07-03T11:20:00+00:00,1783077600000,ETH,sell,11.44980790249038,1743.7,19965.030039572473,7.986012015828989,19949.045190514018
2026-07-03T11:21:00+00:00,1783077660000,ETH,buy,11.428842847616167,1745.5,19949.045190514018,7.9796180762056075,-7.9796180762056075
2026-07-03T11:27:00+00:00,1783078020000,ETH,sell,11.407887764665965,1743.3,19887.370740142174,7.95494829605687,19871.43617376991
2026-07-03T11:29:00+00:00,1783078140000,ETH,buy,11.389600603983443,1744.7,19871.43617376991,7.948574469507965,-7.948574469507965
2026-07-03T11:30:00+00:00,1783078200000,ETH,sell,11.37133151221071,1743.4,19824.779358388154,7.9299117433552615,19808.90087217529
2026-07-03T11:33:00+00:00,1783078380000,ETH,buy,11.351155161409256,1745.1,19808.90087217529,7.923560348870116,-7.923560348870116
2026-07-03T11:35:00+00:00,1783078500000,ETH,sell,11.330994722111857,1744.0,19761.25479536308,7.904501918145232,19745.42673309606
