time_utc,time_ms,equity,cash,drawdown_pct,close_HYPE,position_HYPE,notional_HYPE
2026-06-29T06:00:00+00:00,1782712800000,9948.012457693101,-4.0,-0.5198754230689828,62.631,158.89914671158215,9952.012457693101
2026-06-29T07:00:00+00:00,1782716400000,9939.114105477252,-4.0,-0.6088589452274751,62.575,158.89914671158215,9943.114105477252
2026-06-29T08:00:00+00:00,1782720000000,9904.474091494129,-4.0,-0.9552590850587128,62.357,158.89914671158215,9908.474091494129
2026-06-29T09:00:00+00:00,1782723600000,9938.319609743696,-4.0,-0.6168039025630456,62.57,158.89914671158215,9942.319609743696
2026-06-29T10:00:00+00:00,1782727200000,10106.911604404684,-4.0,0.0,63.631,158.89914671158215,10110.911604404684
2026-06-29T11:00:00+00:00,1782730800000,10064.644431379404,-4.0,-0.41820067968992847,63.365,158.89914671158215,10068.644431379404
2026-06-29T12:00:00+00:00,1782734400000,10131.69987129169,-4.0,0.0,63.787,158.89914671158215,10135.69987129169
2026-06-29T13:00:00+00:00,1782738000000,10149.496575723388,-4.0,0.0,63.899,158.89914671158215,10153.496575723388
2026-06-29T14:00:00+00:00,1782741600000,10223.225779797562,-4.0,0.0,64.363,158.89914671158215,10227.225779797562
2026-06-29T15:00:00+00:00,1782745200000,10299.815168512545,-4.0,0.0,64.845,158.89914671158215,10303.815168512545
2026-06-29T16:00:00+00:00,1782748800000,10272.802313571576,-4.0,-0.2622654338841901,64.675,158.89914671158215,10276.802313571576
2026-06-29T17:00:00+00:00,1782752400000,10537.846090286495,-4.0,0.0,66.343,158.89914671158215,10541.846090286495
2026-06-29T18:00:00+00:00,1782756000000,10445.843484340488,-4.0,-0.8730684160476843,65.764,158.89914671158215,10449.843484340488
2026-06-29T19:00:00+00:00,1782759600000,10623.969427804173,-4.0,0.0,66.885,158.89914671158215,10627.969427804173
2026-06-29T20:00:00+00:00,1782763200000,10529.901132950916,-4.0,-0.8854345401923869,66.293,158.89914671158215,10533.901132950916
2026-06-29T21:00:00+00:00,1782766800000,10723.916991085756,-4.0,0.0,67.514,158.89914671158215,10727.916991085756
2026-06-29T22:00:00+00:00,1782770400000,10630.325393672634,-4.0,-0.8727370557877312,66.925,158.89914671158215,10634.325393672634
2026-06-29T23:00:00+00:00,1782774000000,10626.352915004847,-4.0,-0.9097802245393138,66.9,158.89914671158215,10630.352915004847
2026-06-30T00:00:00+00:00,1782777600000,10481.595792350596,-4.0,-2.2596332938476626,65.989,158.89914671158215,10485.595792350596
2026-06-30T01:00:00+00:00,1782781200000,10540.865174074013,-4.0,-1.7069492160737942,66.362,158.89914671158215,10544.865174074013
2026-06-30T02:00:00+00:00,1782784800000,10433.76714919041,-4.0,-2.705633045616951,65.688,158.89914671158215,10437.76714919041
2026-06-30T03:00:00+00:00,1782788400000,10438.216325298332,-4.0,-2.664144696615167,65.716,158.89914671158215,10442.216325298332
2026-06-30T04:00:00+00:00,1782792000000,10511.627731079083,-4.0,-1.9795869380855757,66.178,158.89914671158215,10515.627731079083
2026-06-30T05:00:00+00:00,1782795600000,10486.362766751943,-4.0,-2.2151814913457413,66.019,158.89914671158215,10490.362766751943
2026-06-30T06:00:00+00:00,1782799200000,10397.697042886879,-4.0,-3.041985017881499,65.461,158.89914671158215,10401.697042886879
2026-06-30T07:00:00+00:00,1782802800000,10424.709897827848,-4.0,-2.7900914703706037,65.631,158.89914671158215,10428.709897827848
2026-06-30T08:00:00+00:00,1782806400000,10347.167114232596,-4.0,-3.5131741244018744,65.143,158.89914671158215,10351.167114232596
2026-06-30T09:00:00+00:00,1782810000000,10370.68418794591,-4.0,-3.293878565392394,65.291,158.89914671158215,10374.68418794591
2026-06-30T10:00:00+00:00,1782813600000,10493.354329207252,-4.0,-2.1499855143429336,66.063,158.89914671158215,10497.354329207252
2026-06-30T11:00:00+00:00,1782817200000,10433.608250043697,-4.0,-2.7071147723670252,65.687,158.89914671158215,10437.608250043697
