time_utc,time_ms,equity,cash,drawdown_pct,close_HYPE,position_HYPE,notional_HYPE
2026-06-29T06:00:00+00:00,1782712800000,10000.0,10000.0,0.0,62.631,0.0,0.0
2026-06-29T07:00:00+00:00,1782716400000,10000.0,10000.0,0.0,62.575,0.0,0.0
2026-06-29T08:00:00+00:00,1782720000000,10000.0,10000.0,0.0,62.357,0.0,0.0
2026-06-29T09:00:00+00:00,1782723600000,10000.0,10000.0,0.0,62.57,0.0,0.0
2026-06-29T10:00:00+00:00,1782727200000,10000.0,10000.0,0.0,63.631,0.0,0.0
2026-06-29T11:00:00+00:00,1782730800000,10000.0,10000.0,0.0,63.365,0.0,0.0
2026-06-29T12:00:00+00:00,1782734400000,10000.0,10000.0,0.0,63.787,0.0,0.0
2026-06-29T13:00:00+00:00,1782738000000,10000.0,10000.0,0.0,63.899,0.0,0.0
2026-06-29T14:00:00+00:00,1782741600000,10000.0,10000.0,0.0,64.363,0.0,0.0
2026-06-29T15:00:00+00:00,1782745200000,10000.0,10000.0,0.0,64.845,0.0,0.0
2026-06-29T16:00:00+00:00,1782748800000,10000.0,10000.0,0.0,64.675,0.0,0.0
2026-06-29T17:00:00+00:00,1782752400000,10000.0,10000.0,0.0,66.343,0.0,0.0
2026-06-29T18:00:00+00:00,1782756000000,10000.0,10000.0,0.0,65.764,0.0,0.0
2026-06-29T19:00:00+00:00,1782759600000,10000.0,10000.0,0.0,66.885,0.0,0.0
2026-06-29T20:00:00+00:00,1782763200000,10000.0,10000.0,0.0,66.293,0.0,0.0
2026-06-29T21:00:00+00:00,1782766800000,10000.0,10000.0,0.0,67.514,0.0,0.0
2026-06-29T22:00:00+00:00,1782770400000,10000.0,10000.0,0.0,66.925,0.0,0.0
2026-06-29T23:00:00+00:00,1782774000000,10000.0,10000.0,0.0,66.9,0.0,0.0
2026-06-30T00:00:00+00:00,1782777600000,10000.0,10000.0,0.0,65.989,0.0,0.0
2026-06-30T01:00:00+00:00,1782781200000,10000.0,10000.0,0.0,66.362,0.0,0.0
2026-06-30T02:00:00+00:00,1782784800000,10000.0,10000.0,0.0,65.688,0.0,0.0
2026-06-30T03:00:00+00:00,1782788400000,10000.0,10000.0,0.0,65.716,0.0,0.0
2026-06-30T04:00:00+00:00,1782792000000,10000.0,10000.0,0.0,66.178,0.0,0.0
