time_utc,time_ms,coin,side,quantity,price,notional,fee,cash_after
2026-07-03T07:58:00+00:00,1783065480000,BTC,sell,0.03236455434008674,61796.0,2000.0000000000002,0.8,11999.2
2026-07-03T07:59:00+00:00,1783065540000,BTC,sell,0.0323732040808746,61785.0,2000.1784141368373,0.8000713656547349,13998.578342771183
2026-07-03T08:05:00+00:00,1783065900000,BTC,buy,0.0971091822386344,61778.0,5999.211060338356,2.3996844241353426,7996.967598008691
2026-07-03T08:07:00+00:00,1783066020000,BTC,buy,0.03232991697577285,61809.0,1998.2798383555441,0.7993119353422177,5997.888447717804
2026-07-03T08:14:00+00:00,1783066440000,BTC,buy,0.03237495649736358,61775.0,1999.962937624635,0.799985175049854,3997.12552491812
2026-07-03T08:27:00+00:00,1783067220000,BTC,buy,0.03228563657958258,61850.0,1996.8666224471826,0.798746648978873,1999.4601558219583
2026-07-03T08:52:00+00:00,1783068720000,BTC,sell,0.032307377347684116,61720.0,1994.0113298990636,0.7976045319596254,3992.6738811890623
2026-07-03T08:53:00+00:00,1783068780000,BTC,sell,0.032324785816881765,61644.0,1992.6290968958594,0.7970516387583437,5984.505926446163
2026-07-03T09:29:00+00:00,1783070940000,BTC,buy,0.03229482897042757,61710.0,1992.9138957650853,0.7971655583060341,3990.794865122772
2026-07-03T09:35:00+00:00,1783071300000,BTC,buy,0.03237987037322615,61652.0,1996.2837682501386,0.7985135073000554,1993.7125833653336
2026-07-03T09:36:00+00:00,1783071360000,BTC,sell,0.032358573959692355,61651.0,1994.9384431889935,0.7979753772755974,3987.8530511770514
2026-07-03T09:37:00+00:00,1783071420000,BTC,sell,0.032325660210529766,61584.0,1990.743458405265,0.796297383362106,5977.800212198955
2026-07-03T09:48:00+00:00,1783072080000,BTC,buy,0.03217040844576802,61777.0,1987.3913225542108,0.7949565290216843,3989.613933115722
2026-07-03T09:52:00+00:00,1783072320000,BTC,buy,0.03232006098051013,61737.0,1995.3436047537539,0.7981374419015016,1993.4721909200666
2026-07-03T10:10:00+00:00,1783073400000,BTC,sell,0.03229755827379567,61696.0,1992.6301552600978,0.7970520621040391,3985.3052941180604
2026-07-03T10:17:00+00:00,1783073820000,BTC,sell,0.06461072026064074,61693.0,3986.0291650397094,1.5944116660158838,7969.740047491754
2026-07-03T10:39:00+00:00,1783075140000,BTC,buy,0.03212927330323838,61888.0,1988.416466190817,0.7953665864763267,5980.528214714461
2026-07-03T10:44:00+00:00,1783075440000,BTC,sell,0.09662439065483308,61954.0,5986.267498629529,2.3945069994518113,11964.401206344537
2026-07-03T10:45:00+00:00,1783075500000,BTC,buy,0.032192690580495176,62047.0,1997.4598724479843,0.7989839489791937,9966.142349947573
2026-07-03T10:46:00+00:00,1783075560000,BTC,sell,0.032185704112605,61929.0,1993.228469989515,0.797291387995806,11958.573528549092
2026-07-03T11:37:00+00:00,1783078620000,BTC,sell,0.03214564736564233,61957.0,1991.6478738331018,0.7966591495332407,13949.424743232661
2026-07-03T11:40:00+00:00,1783078800000,BTC,buy,0.09652354571812982,61917.0,5976.448380229444,2.3905793520917777,7970.585783651125
2026-07-03T11:47:00+00:00,1783079220000,BTC,buy,0.03213935427787176,61962.0,1991.4186697654902,0.796567467906196,5978.370546417728
2026-07-03T11:48:00+00:00,1783079280000,BTC,buy,0.03213377937735075,61988.0,1991.9087160432182,0.7967634864172872,3985.665066888093
2026-07-03T12:27:00+00:00,1783081620000,BTC,sell,0.03214156654874088,61943.0,1990.9450567286565,0.7963780226914626,5975.813745594058
2026-07-03T12:36:00+00:00,1783082160000,BTC,sell,0.03215790851317522,61922.0,1991.2820109528357,0.7965128043811343,7966.299243742512
2026-07-03T12:43:00+00:00,1783082580000,BTC,buy,0.032120018362486895,61971.0,1990.5096579416754,0.7962038631766701,5974.993381937659
2026-07-03T12:48:00+00:00,1783082880000,BTC,sell,0.09641908305760562,61994.0,5977.404635073202,2.390961854029281,11950.007055156833
2026-07-03T13:36:00+00:00,1783085760000,BTC,sell,0.03203330330407672,62062.0,1988.0508696576094,0.7952203478630437,13937.262704466579
2026-07-03T13:44:00+00:00,1783086240000,BTC,buy,0.03216456477086801,62171.0,1999.7031563696348,0.799881262547854,11936.759666834396
2026-07-03T13:47:00+00:00,1783086420000,BTC,buy,0.03200195039513853,62126.0,1988.1531702483762,0.7952612680993505,9947.81123531792
2026-07-03T13:54:00+00:00,1783086840000,BTC,buy,0.031977277428775985,62218.0,1989.5622470635842,0.7958248988254337,7957.453163355511
2026-07-03T14:01:00+00:00,1783087260000,BTC,sell,0.031977277428775985,61970.0,1981.6318822612477,0.7926527529044991,9938.292392863854
2026-07-03T14:14:00+00:00,1783088040000,BTC,sell,0.03219505780188492,61738.0,1987.6584785727712,0.7950633914291084,11925.155808045196
2026-07-03T14:43:00+00:00,1783089780000,BTC,sell,0.03180512951812503,62047.0,1973.4128712111037,0.7893651484844415,13897.779314107815
2026-07-03T14:52:00+00:00,1783090320000,BTC,sell,0.031821565343913796,62126.0,1976.9465685559885,0.7907786274223954,15873.93510403638
2026-07-03T14:54:00+00:00,1783090440000,BTC,sell,0.031913951435789886,62131.0,1982.8457166570615,0.7931382866628246,17855.98768240678
2026-07-03T15:07:00+00:00,1783091220000,BTC,buy,0.032489359878798196,62329.0,2025.0293118856127,0.8100117247542451,15830.148358796412
2026-07-03T16:23:00+00:00,1783095780000,BTC,buy,0.03133171402865191,62071.0,1944.7908214724528,0.7779163285889811,13884.579620995371
2026-07-03T16:45:00+00:00,1783097100000,BTC,sell,0.031988727327999913,62053.0,1984.9964968843785,0.7939985987537515,15868.782119280995
2026-07-03T17:01:00+00:00,1783098060000,BTC,buy,0.032114475263842535,62139.0,1995.5613784199113,0.7982245513679646,13872.422516309716
2026-07-03T17:08:00+00:00,1783098480000,BTC,buy,0.03199308808701965,62273.0,1992.3055744429748,0.79692222977719,11879.320019636963
