rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1302,625,1,5,6,0.35,0.1,0,0.05,-0.21032312,9978.96768765,-0.54277143,52,12.03859326,-0.01103237,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1303,2141,1,13,6,0.45,0.3,0.1,0.05,-0.21084804,9978.91519552,-0.3808926,55,12.75789182,-0.01265841,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1304,401,1,5,4.5,0.45,0.3,0,0.05,-0.21138026,9978.86197415,-0.42212738,119,32.98632546,-0.01292271,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1305,1209,1,8,5,0.35,0.1,0.05,0.05,-0.21226105,9978.77389509,-0.73005525,64,14.14360447,-0.00895238,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1306,162,1,5,4,0.2,0.3,0,0.1,-0.21238341,9978.76165894,-1.28416832,118,59.65676119,-0.005004,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1307,2728,1,21,5,0.45,0.5,0.02,0.2,-0.21317467,9978.68253334,-1.87015337,73,73.90580492,-0.00423044,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1308,1917,1,13,5,0.2,0.5,0.1,0.05,-0.2132715,9978.67284991,-0.40523953,62,14.78291176,-0.01570392,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1309,466,1,5,5,0.2,0.5,0,0.1,-0.21504215,9978.49578549,-0.59446011,94,45.96865548,-0.00846172,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1310,137,1,5,3.5,0.45,0.5,0.05,0.05,-0.21544785,9978.45521497,-0.58292362,149,40.79889052,-0.01002403,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1311,1525,1,13,3.5,0.35,0.5,0.02,0.05,-0.21595865,9978.40413514,-0.44514869,122,29.95894385,-0.00824682,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
