time_utc,time_ms,coin,side,quantity,price,notional,fee,cash_after
2026-07-03T06:53:00+00:00,1783061580000,HYPE,buy,148.97135280885487,67.127,10000.0,4.0,-4.0
2026-07-03T07:13:00+00:00,1783062780000,HYPE,sell,297.8832110242809,67.233,20027.58192679548,8.011032770718192,20015.57089402476
2026-07-03T07:22:00+00:00,1783063320000,HYPE,buy,297.7178475981669,67.23,20015.57089402476,8.006228357609904,-8.006228357609904
2026-07-03T07:23:00+00:00,1783063380000,HYPE,sell,297.4928171836872,67.188,19987.947400937574,7.995178960375029,19971.945993619585
2026-07-03T07:31:00+00:00,1783063860000,HYPE,buy,297.4848962348008,67.136,19971.94599361958,7.988778397447833,-7.988778397444195
2026-07-03T07:32:00+00:00,1783063920000,HYPE,sell,297.4769280577791,67.015,19935.416333792065,7.974166533516827,19919.453388861104
2026-07-03T07:39:00+00:00,1783064340000,HYPE,buy,296.34987783951897,67.216,19919.453388861104,7.9677813555444414,-7.9677813555444414
2026-07-03T07:59:00+00:00,1783065540000,HYPE,sell,295.22366026521456,67.309,19871.209348791326,7.94848373951653,19855.293083696266
2026-07-03T08:02:00+00:00,1783065720000,HYPE,buy,294.7200992087912,67.37,19855.293083696266,7.942117233478506,-7.942117233478506
2026-07-03T08:04:00+00:00,1783065840000,HYPE,sell,294.21695273870967,67.328,19809.038993991846,7.923615597596738,19793.173261160773
2026-07-03T08:05:00+00:00,1783065900000,HYPE,buy,293.81983613390895,67.365,19793.173261160773,7.917269304464309,-7.917269304464309
2026-07-03T08:21:00+00:00,1783066860000,HYPE,sell,293.42329083971043,67.444,19789.64042739343,7.9158561709573725,19773.80730191801
2026-07-03T08:22:00+00:00,1783066920000,HYPE,buy,292.784803913677,67.537,19773.80730191801,7.909522920767204,-7.909522920767204
2026-07-03T08:23:00+00:00,1783066980000,HYPE,sell,292.1464440149016,67.451,19705.569795249125,7.88222791809965,19689.778044410257
2026-07-03T08:25:00+00:00,1783067100000,HYPE,buy,291.4542985095587,67.557,19689.77804441026,7.875911217764104,-7.875911217767742
2026-07-03T08:28:00+00:00,1783067280000,HYPE,sell,290.7626911190091,67.474,19618.92182056402,7.847568728225609,19603.198340618026
2026-07-03T08:29:00+00:00,1783067340000,HYPE,buy,290.3618316563925,67.513,19603.19834061803,7.8412793362472115,-7.8412793362508495
2026-07-03T08:31:00+00:00,1783067460000,HYPE,sell,289.9615405445237,67.506,19574.143755998615,7.829657502399446,19558.472819159964
2026-07-03T08:32:00+00:00,1783067520000,HYPE,buy,289.25377965836935,67.617,19558.47281915996,7.823389127663984,-7.823389127660346
2026-07-03T08:42:00+00:00,1783068120000,HYPE,sell,288.54637299171463,67.558,19493.61586657426,7.7974463466297035,19477.995031099967
2026-07-03T08:43:00+00:00,1783068180000,HYPE,buy,288.11044923675365,67.606,19477.995031099967,7.791198012439986,-7.791198012439986
2026-07-03T08:50:00+00:00,1783068600000,HYPE,sell,287.67510942282127,67.621,19452.878574280596,7.781151429712239,19437.30622483844
