time_utc,time_ms,coin,side,quantity,price,notional,fee,cash_after
2026-07-05T07:27:00+00:00,1783236420000,ETH,buy,0.2834788524776052,1763.8,500.0,0.2,9499.8
2026-07-05T07:52:00+00:00,1783237920000,ETH,sell,0.2834788524776052,1769.6,501.6441773443701,0.20065767093774806,10001.243519673431
2026-07-05T08:06:00+00:00,1783238760000,ETH,buy,0.2826487542299749,1769.2,500.0621759836716,0.20002487039346864,9500.981318819366
2026-07-05T08:14:00+00:00,1783239240000,ETH,sell,0.2826487542299749,1770.1,500.3165598624785,0.20012662394499142,10001.097752057898
2026-07-05T08:32:00+00:00,1783240320000,ETH,sell,0.28253284795914735,1769.9,500.0548876028949,0.20002195504115797,10500.952617705752
2026-07-05T09:11:00+00:00,1783242660000,ETH,buy,0.28253284795914735,1767.3,499.3203021982011,0.19972812087928044,10001.432587386673
2026-07-05T09:28:00+00:00,1783243680000,ETH,buy,0.28374468302844624,1762.4,500.07162936933366,0.20002865174773346,9501.160929365593
2026-07-05T09:35:00+00:00,1783244100000,ETH,buy,0.284039398614105,1761.4,500.30699671888453,0.2001227986875538,9000.653809848021
2026-07-05T09:41:00+00:00,1783244460000,ETH,sell,0.5677840816425512,1754.8,996.3475064663488,0.3985390025865395,9996.602777311784
2026-07-05T09:51:00+00:00,1783245060000,ETH,sell,0.2845926885301994,1756.3,499.8301388655892,0.1999320555462357,10496.232984121827
2026-07-05T10:01:00+00:00,1783245660000,ETH,buy,0.2845926885301994,1757.2,500.08627228526643,0.20003450891410657,9995.946677327645
2026-07-05T10:11:00+00:00,1783246260000,ETH,sell,0.28391123259849027,1760.4,499.7973338663823,0.19991893354655293,10495.54409226048
2026-07-05T10:20:00+00:00,1783246800000,ETH,sell,0.2837982911718464,1760.7,499.68365126627,0.19987346050650798,10995.027870066244
2026-07-05T11:01:00+00:00,1783249260000,ETH,sell,0.28160862441630086,1764.9,497.0110612323294,0.19880442449293176,11491.84012687408
2026-07-05T11:23:00+00:00,1783250580000,ETH,buy,0.28171233726717837,1761.1,496.1235971612278,0.19844943886449112,10995.518080273987
2026-07-05T11:32:00+00:00,1783251120000,ETH,sell,0.28415840267387527,1760.4,500.23245206709004,0.20009298082683602,11495.55043936025
2026-07-05T11:50:00+00:00,1783252200000,ETH,buy,0.28419232768106195,1761.1,500.4911082791182,0.20019644331164727,10994.85913463782
2026-07-05T12:06:00+00:00,1783253160000,ETH,sell,0.2851535027651023,1758.5,501.4424346124324,0.20057697384497297,11496.100992276408
2026-07-05T12:11:00+00:00,1783253460000,ETH,buy,0.8527253886773748,1759.3,1500.1997763001054,0.6000799105200422,9995.301136065782
2026-07-05T12:23:00+00:00,1783254180000,ETH,sell,0.2831850956500958,1764.8,499.76505680328904,0.1999060227213156,10494.86628684635
2026-07-05T12:51:00+00:00,1783255860000,ETH,buy,0.2831850956500958,1764.9,499.7933753128541,0.19991735012514164,9994.872994183372
2026-07-05T13:16:00+00:00,1783257360000,ETH,buy,0.2831890121319026,1764.7,499.74364970916855,0.19989745988366742,9494.92944701432
2026-07-05T13:23:00+00:00,1783257780000,ETH,buy,0.2829034191568608,1765.6,499.4942768633534,0.19979771074534136,8995.23537244022
2026-07-05T14:06:00+00:00,1783260360000,ETH,sell,0.2833113082973642,1767.4,500.72440628476147,0.2002897625139046,9495.759488962469
2026-07-05T14:20:00+00:00,1783261200000,ETH,buy,0.2830739531303442,1766.4,500.0218308094401,0.20000873232377603,8995.537649420705
2026-07-05T14:43:00+00:00,1783262580000,ETH,sell,0.2834367319031837,1769.9,501.65467179544487,0.20066186871817795,9496.991659347432
2026-07-05T15:04:00+00:00,1783263840000,ETH,sell,0.28241834421855977,1779.3,502.50695986808336,0.20100278394723334,9999.297616431568
2026-07-05T15:26:00+00:00,1783265160000,ETH,sell,0.2816703553924385,1775.0,499.96488082157833,0.19998595232863134,10499.062511300817
2026-07-05T15:42:00+00:00,1783266120000,ETH,buy,0.2816703553924385,1774.0,499.6832104661859,0.19987328418647438,9999.179427550445
2026-07-05T16:11:00+00:00,1783267860000,ETH,sell,0.28166702612818156,1775.0,499.9589713775223,0.19998358855100892,10498.938415339417
