time_utc,time_ms,coin,side,quantity,price,notional,fee,cash_after
2026-07-05T06:26:00+00:00,1783232760000,BTC,buy,0.15929654645087293,62776.0,10000.0,4.0,-4.0
2026-07-05T06:27:00+00:00,1783232820000,BTC,sell,6.3718618580344e-05,62776.0,3.999999999999675,0.00159999999999987,-0.0016000000003249433
2026-07-05T07:17:00+00:00,1783235820000,BTC,sell,0.1592328278322926,62750.0,9991.85994647636,3.9967439785905436,9987.86160249777
2026-07-05T07:36:00+00:00,1783236960000,BTC,buy,0.15886024943532526,62872.0,9987.86160249777,3.995144640999108,-3.995144640999108
2026-07-05T07:37:00+00:00,1783237020000,BTC,sell,6.353601528308328e-05,62880.0,3.9951446410002767,0.0015980578564001107,-0.001598057855231268
2026-07-05T08:35:00+00:00,1783240500000,BTC,sell,0.15879671342004217,62938.0,9994.347549230615,3.997739019692246,9990.348212153067
2026-07-05T10:20:00+00:00,1783246800000,BTC,buy,0.15935094605788538,62694.0,9990.348212153067,3.996139284861227,-3.996139284861227
2026-07-05T10:21:00+00:00,1783246860000,BTC,sell,6.369872136544052e-05,62735.0,3.996139284860911,0.0015984557139443645,-0.001598455714260112
2026-07-05T11:18:00+00:00,1783250280000,BTC,sell,0.15928724733651994,62648.0,9979.0274711383,3.9916109884553204,9975.03426169413
2026-07-05T11:49:00+00:00,1783252140000,BTC,buy,0.15906608613768347,62710.0,9975.03426169413,3.9900137046776525,-3.9900137046776525
2026-07-05T11:50:00+00:00,1783252200000,BTC,sell,6.365180991746433e-05,62685.0,3.9900137046762514,0.0015960054818705005,-0.001596005483271602
2026-07-05T12:03:00+00:00,1783252980000,BTC,sell,0.159002434327766,62605.0,9954.347401089792,3.9817389604359166,9950.364066123873
2026-07-05T12:30:00+00:00,1783254600000,BTC,buy,0.15856395815536903,62753.0,9950.364066123873,3.9801456264495494,-3.9801456264495494
2026-07-05T12:31:00+00:00,1783254660000,BTC,sell,6.343367003663891e-05,62745.0,3.9801456264489086,0.0015920582505795633,-0.001592058251220384
2026-07-05T13:30:00+00:00,1783258200000,BTC,sell,0.1585005244853324,62694.0,9937.031882083429,3.9748127528333717,9933.055477272344
2026-07-05T13:51:00+00:00,1783259460000,BTC,buy,0.1581646361146515,62802.0,9933.055477272344,3.973222190908938,-3.973222190908938
2026-07-05T13:52:00+00:00,1783259520000,BTC,sell,6.328298464455817e-05,62785.0,3.9732221909085847,0.001589288876363434,-0.001589288876716485
2026-07-05T14:20:00+00:00,1783261200000,BTC,sell,0.15810135313000695,62691.0,9911.531929073266,3.9646127716293065,9907.56572701276
2026-07-05T14:56:00+00:00,1783263360000,BTC,buy,0.1578542751738697,62764.0,9907.56572701276,3.9630262908051037,-3.9630262908051037
2026-07-05T14:57:00+00:00,1783263420000,BTC,sell,6.310852892341123e-05,62797.0,3.9630262908034553,0.001585210516321382,-0.0015852105179698412
2026-07-05T15:39:00+00:00,1783265940000,BTC,sell,0.1577911666449463,62807.0,9910.389803469143,3.964155921387657,9906.424062337239
2026-07-05T17:10:00+00:00,1783271400000,BTC,buy,0.15795940464541558,62715.0,9906.424062337239,3.9625696249348956,-3.9625696249348956
2026-07-05T17:11:00+00:00,1783271460000,BTC,sell,6.318779201311409e-05,62711.0,3.9625696249343973,0.001585027849973759,-0.0015850278504720271
2026-07-05T17:46:00+00:00,1783273560000,BTC,sell,0.15789621685340247,62630.0,9889.040061528596,3.9556160246114387,9885.082860476134
2026-07-05T18:23:00+00:00,1783275780000,BTC,buy,0.1576819725710023,62690.0,9885.082860476134,3.9540331441904533,-3.9540331441904533
2026-07-05T18:24:00+00:00,1783275840000,BTC,sell,6.307178293837867e-05,62691.0,3.9540331441898973,0.0015816132576759589,-0.0015816132582319585
2026-07-05T19:37:00+00:00,1783280220000,BTC,sell,0.15761890078806393,62792.0,9897.20601828411,3.958882407313644,9893.245554263538
2026-07-05T20:16:00+00:00,1783282560000,BTC,buy,0.15750064562459862,62814.0,9893.245554263538,3.957298221705415,-3.957298221705415
2026-07-05T20:17:00+00:00,1783282620000,BTC,sell,6.300627661612324e-05,62808.0,3.957298221705468,0.0015829192886821872,-0.0015829192886293406
2026-07-05T20:28:00+00:00,1783283280000,BTC,sell,0.1574376393479825,62716.0,9873.85898934807,3.9495435957392275,9869.90786283304
2026-07-05T21:24:00+00:00,1783286640000,BTC,buy,0.15684944002213777,62926.0,9869.90786283304,3.9479631451332162,-3.9479631451332162
2026-07-05T21:25:00+00:00,1783286700000,BTC,sell,6.278367649142913e-05,62882.0,3.9479631451340467,0.0015791852580536187,-0.001579185257223172
2026-07-05T23:39:00+00:00,1783294740000,BTC,sell,0.15678665634564634,63643.0,9978.373169805971,3.9913492679223883,9974.380241352792
2026-07-06T00:51:00+00:00,1783299060000,BTC,buy,0.15653944319270524,63718.0,9974.380241352792,3.9897520965411166,-3.9897520965411166
2026-07-06T00:52:00+00:00,1783299120000,BTC,sell,6.262855500416276e-05,63705.0,3.9897520965401885,0.0015959008386160754,-0.0015959008395442218
2026-07-06T01:53:00+00:00,1783302780000,BTC,sell,0.15647681463770108,63571.0,9947.387583333295,3.978955033333318,9943.407032399122
2026-07-06T04:12:00+00:00,1783311120000,BTC,buy,0.15707639499548398,63303.0,9943.407032399122,3.9773628129596488,-3.9773628129596488
2026-07-06T04:13:00+00:00,1783311180000,BTC,sell,6.283849929628049e-05,63295.0,3.9773628129580736,0.0015909451251832295,-0.001590945126758414
