time_utc,time_ms,equity,cash,drawdown_pct,close_BTC,position_BTC,notional_BTC
2026-07-05T04:16:00+00:00,1783224960000,10000.0,10000.0,0.0,62794.0,0.0,0.0
2026-07-05T04:17:00+00:00,1783225020000,10000.0,10000.0,0.0,62802.0,0.0,0.0
2026-07-05T04:18:00+00:00,1783225080000,10000.0,10000.0,0.0,62812.0,0.0,0.0
2026-07-05T04:19:00+00:00,1783225140000,10000.0,10000.0,0.0,62821.0,0.0,0.0
2026-07-05T04:20:00+00:00,1783225200000,10000.0,10000.0,0.0,62837.0,0.0,0.0
2026-07-05T04:21:00+00:00,1783225260000,10000.0,10000.0,0.0,62849.0,0.0,0.0
2026-07-05T04:22:00+00:00,1783225320000,10000.0,10000.0,0.0,62840.0,0.0,0.0
2026-07-05T04:23:00+00:00,1783225380000,10000.0,10000.0,0.0,62841.0,0.0,0.0
2026-07-05T04:24:00+00:00,1783225440000,10000.0,10000.0,0.0,62873.0,0.0,0.0
2026-07-05T04:25:00+00:00,1783225500000,10000.0,10000.0,0.0,62870.0,0.0,0.0
2026-07-05T04:26:00+00:00,1783225560000,10000.0,10000.0,0.0,62858.0,0.0,0.0
2026-07-05T04:27:00+00:00,1783225620000,10000.0,10000.0,0.0,62864.0,0.0,0.0
2026-07-05T04:28:00+00:00,1783225680000,10000.0,10000.0,0.0,62864.0,0.0,0.0
2026-07-05T04:29:00+00:00,1783225740000,10000.0,10000.0,0.0,62864.0,0.0,0.0
2026-07-05T04:30:00+00:00,1783225800000,10000.0,10000.0,0.0,62875.0,0.0,0.0
2026-07-05T04:31:00+00:00,1783225860000,10000.0,10000.0,0.0,62901.0,0.0,0.0
2026-07-05T04:32:00+00:00,1783225920000,10000.0,10000.0,0.0,62946.0,0.0,0.0
2026-07-05T04:33:00+00:00,1783225980000,10000.0,10000.0,0.0,62915.0,0.0,0.0
2026-07-05T04:34:00+00:00,1783226040000,10000.0,10000.0,0.0,62914.0,0.0,0.0
2026-07-05T04:35:00+00:00,1783226100000,10000.0,10000.0,0.0,62925.0,0.0,0.0
2026-07-05T04:36:00+00:00,1783226160000,10000.0,10000.0,0.0,62921.0,0.0,0.0
2026-07-05T04:37:00+00:00,1783226220000,10000.0,10000.0,0.0,62913.0,0.0,0.0
2026-07-05T04:38:00+00:00,1783226280000,10000.0,10000.0,0.0,62928.0,0.0,0.0
