rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
284,353,5,3.5,0.5,3,0.08,0.15,-1.00845426,9899.15457356,-1.13475763,492,150.17441015,-0.04191247,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
285,406,5,4,0.5,3,0.05,0.3,-1.00912798,9899.08720197,-1.26382339,802,159.55274684,-0.02268478,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
286,641,8,4,0.6,3,0.08,0.15,-1.01120806,9898.87919446,-1.03293663,491,148.91346125,-0.04136259,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
287,560,8,3.5,0.5,2,0.03,0.3,-1.01397869,9898.60213147,-1.25962115,1228,145.78522964,-0.02574215,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
288,277,5,3,0.4,3,0.03,0.15,-1.01488112,9898.51188817,-1.06872581,767,91.59749231,-0.04740532,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
289,181,3,4,0.5,2,0.03,0.15,-1.01488907,9898.51109275,-1.04882605,936,111.78557741,-0.04734818,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
290,296,5,3,0.5,3,0.03,0.3,-1.01642263,9898.35773736,-1.47674443,965,115.05663215,-0.02550949,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
291,577,8,3.5,0.6,2,0.03,0.15,-1.0204128,9897.95871994,-1.07476611,895,106.85294811,-0.04668538,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
292,788,13,3.5,0.5,4,0.03,0.3,-1.02504468,9897.49553224,-1.40985045,986,117.13790594,-0.02505126,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
293,614,8,4,0.5,2,0.03,0.3,-1.02610096,9897.38990374,-1.29954407,1216,144.43627512,-0.02587764,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
294,469,8,2.5,0.6,2,0.03,0.15,-1.03052237,9896.94776299,-1.09271413,1036,123.59022237,-0.05035152,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
295,667,13,2.5,0.5,2,0.03,0.15,-1.03299508,9896.70049174,-1.13717726,1001,119.3475019,-0.05068505,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
296,361,5,3.5,0.6,2,0.03,0.15,-1.03338528,9896.66147213,-1.05408296,927,110.63845507,-0.04717649,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
297,558,8,3.5,0.4,4,0.08,0.3,-1.03355916,9896.64408353,-1.49810501,614,188.83269381,-0.02312524,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
298,587,8,3.5,0.6,3,0.08,0.15,-1.03709274,9896.29072621,-1.05881563,507,153.85357511,-0.04276584,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
299,815,13,4,0.4,2,0.08,0.15,-1.03748446,9896.25155412,-1.1933771,414,124.29640551,-0.04067213,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
300,247,5,2.5,0.5,4,0.03,0.15,-1.03865757,9896.1342434,-1.06830321,759,90.67803438,-0.05318847,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
301,242,5,2.5,0.5,3,0.03,0.3,-1.0387774,9896.12225951,-1.48238864,987,117.34363681,-0.02744568,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
302,104,3,3,0.6,4,0.03,0.3,-1.0388439,9896.11560993,-1.4432337,763,90.55672483,-0.02915936,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
303,854,13,4,0.6,3,0.03,0.3,-1.03991488,9896.0085123,-1.52954271,1102,130.59312916,-0.02506135,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
304,206,3,4,0.6,3,0.03,0.3,-1.04259691,9895.74030859,-1.47469315,991,117.92854281,-0.02698229,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
305,628,8,4,0.5,4,0.05,0.3,-1.04323199,9895.67680059,-1.2738329,840,167.10830661,-0.02520771,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
306,199,3,4,0.6,2,0.03,0.15,-1.04397598,9895.60240183,-1.08026654,905,108.09893447,-0.0478962,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
307,761,13,3.5,0.4,2,0.08,0.15,-1.04686086,9895.31391369,-1.14863737,443,133.40879848,-0.04198024,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
308,785,13,3.5,0.5,3,0.08,0.15,-1.04896514,9895.103486,-1.17304998,403,121.67492514,-0.04195448,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
309,358,5,3.5,0.5,4,0.05,0.3,-1.04898631,9895.10136869,-1.40408017,796,158.21929684,-0.0261015,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
310,809,13,3.5,0.6,4,0.08,0.15,-1.04926342,9895.07365807,-1.15661375,390,117.55272876,-0.04157458,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
311,200,3,4,0.6,2,0.03,0.3,-1.05016075,9894.98392534,-1.20675847,1164,138.05912238,-0.02644239,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
312,430,5,4,0.6,4,0.05,0.3,-1.05258562,9894.74143782,-1.50983642,836,166.26556973,-0.02499365,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
313,458,8,2.5,0.5,3,0.03,0.3,-1.05275021,9894.72497854,-1.33819135,1025,121.75996469,-0.02788916,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
314,803,13,3.5,0.6,3,0.08,0.15,-1.05304635,9894.69536493,-1.08757323,438,132.10634252,-0.04235835,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
315,412,5,4,0.5,4,0.05,0.3,-1.05378074,9894.62192628,-1.44573025,778,154.807382,-0.02448597,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
316,297,5,3,0.5,3,0.05,0.15,-1.05578673,9894.42132702,-1.07746856,667,132.7842875,-0.04803355,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
317,818,13,4,0.4,3,0.03,0.3,-1.05722261,9894.27773861,-1.57159024,1047,123.82282482,-0.02531447,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
318,286,5,3,0.4,4,0.05,0.3,-1.05849944,9894.1500558,-1.44107576,738,146.88970137,-0.02666725,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
319,482,8,2.5,0.6,4,0.03,0.3,-1.05854738,9894.14526151,-1.34522669,1019,120.91610398,-0.02965612,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
320,146,3,3.5,0.6,2,0.03,0.3,-1.05886534,9894.11346605,-1.31022845,1181,140.32127025,-0.02747261,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
321,505,8,3,0.5,2,0.03,0.15,-1.06197026,9893.80297408,-1.11641072,961,114.65746774,-0.05071051,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
322,380,5,4,0.4,2,0.03,0.3,-1.06226739,9893.77326069,-1.16714542,1225,145.49854657,-0.02811591,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
323,243,5,2.5,0.5,3,0.05,0.15,-1.06303026,9893.69697422,-1.07472057,689,137.11073324,-0.04976683,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
324,705,13,3,0.4,2,0.05,0.15,-1.06310303,9893.68969693,-1.12855517,680,135.09871902,-0.04579531,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
325,717,13,3,0.4,4,0.05,0.15,-1.06441562,9893.55843816,-1.13561938,501,99.78910707,-0.04524699,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
326,376,5,3.5,0.6,4,0.05,0.3,-1.0647902,9893.52098011,-1.50334466,876,174.09808326,-0.02638734,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
327,502,8,3,0.4,4,0.05,0.3,-1.06618841,9893.38115936,-1.34546576,748,148.83705931,-0.02570118,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
328,533,8,3,0.6,3,0.08,0.15,-1.06637763,9893.36223696,-1.10332477,518,157.9059285,-0.04407992,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
329,548,8,3.5,0.4,3,0.03,0.3,-1.06668613,9893.33138727,-1.39332694,1037,123.22317747,-0.02778181,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
330,261,5,2.5,0.6,3,0.05,0.15,-1.07130731,9892.86926934,-1.11737722,749,149.13390838,-0.05053945,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
331,87,3,3,0.5,4,0.05,0.15,-1.07429844,9892.57015584,-1.22528845,523,104.0664185,-0.05049239,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
332,189,3,4,0.5,3,0.05,0.15,-1.0743685,9892.56315032,-1.13427588,581,115.6846067,-0.04837807,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
333,116,3,3.5,0.4,3,0.03,0.3,-1.0784892,9892.15108018,-1.41077675,879,104.59562525,-0.03019417,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
334,152,3,3.5,0.6,3,0.03,0.3,-1.0787909,9892.12091005,-1.46325939,992,118.18536491,-0.02909257,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,BTC,1m,10000.0
