rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
226,418,5,4,0.6,2,0.05,0.3,-0.1500637,9984.99362991,-1.73090122,842,169.06939102,-0.00133305,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
227,598,8,4,0.4,2,0.05,0.3,-0.15195571,9984.80442894,-1.85245427,778,156.34021218,-0.00133884,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
228,709,13,3,0.4,3,0.03,0.15,-0.15521449,9984.47855085,-0.8465219,707,85.05337434,-0.00294873,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
229,216,3,4,0.6,4,0.08,0.3,-0.15558056,9984.4419436,-1.56827016,644,198.5751956,-0.00140716,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
230,563,8,3.5,0.5,2,0.08,0.15,-0.16339811,9983.66018891,-1.44767009,378,114.1428374,-0.00280735,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
231,39,3,2.5,0.6,2,0.05,0.15,-0.16589069,9983.41093085,-1.36540637,853,170.70371777,-0.00329244,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
232,592,8,3.5,0.6,4,0.05,0.3,-0.17042781,9982.95721942,-1.4335923,727,145.77220287,-0.00156869,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
233,115,3,3.5,0.4,3,0.03,0.15,-0.17580415,9982.41958452,-0.93436569,750,90.19248981,-0.00368516,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
234,201,3,4,0.6,2,0.05,0.15,-0.17798109,9982.20189109,-1.45101598,625,125.0110705,-0.00330753,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
235,323,5,3,0.6,4,0.08,0.15,-0.18436944,9981.56305598,-0.96196029,487,148.79449701,-0.00346173,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
