time_utc,time_ms,equity,cash,drawdown_pct,close_HYPE,position_HYPE,notional_HYPE
2026-07-05T06:28:00+00:00,1783232880000,10000.0,10000.0,0.0,68.601,0.0,0.0
2026-07-05T06:29:00+00:00,1783232940000,10000.0,10000.0,0.0,68.621,0.0,0.0
2026-07-05T06:30:00+00:00,1783233000000,10000.0,10000.0,0.0,68.618,0.0,0.0
2026-07-05T06:31:00+00:00,1783233060000,10000.0,10000.0,0.0,68.59,0.0,0.0
2026-07-05T06:32:00+00:00,1783233120000,10000.0,10000.0,0.0,68.633,0.0,0.0
2026-07-05T06:33:00+00:00,1783233180000,10000.0,10000.0,0.0,68.622,0.0,0.0
2026-07-05T06:34:00+00:00,1783233240000,10000.0,10000.0,0.0,68.608,0.0,0.0
2026-07-05T06:35:00+00:00,1783233300000,10000.0,10000.0,0.0,68.614,0.0,0.0
2026-07-05T06:36:00+00:00,1783233360000,10000.0,10000.0,0.0,68.61,0.0,0.0
2026-07-05T06:37:00+00:00,1783233420000,10000.0,10000.0,0.0,68.493,0.0,0.0
2026-07-05T06:38:00+00:00,1783233480000,9999.741599018862,9499.8,-0.0025840098113794063,68.484,7.300122642060386,499.9415990188634
2026-07-05T06:39:00+00:00,1783233540000,9999.892023758626,8999.567426092624,-0.001079762413735974,68.508,14.60157350478778,1000.3245976660012
2026-07-05T06:40:00+00:00,1783233600000,9999.746008023578,8999.567426092624,-0.002539919764221743,68.498,14.60157350478778,1000.1785819309534
2026-07-05T06:41:00+00:00,1783233660000,9999.327115762002,8499.584193492332,-0.0067288423799771735,68.488,21.897893386719858,1499.7429222696696
2026-07-05T06:42:00+00:00,1783233720000,9997.287452206418,7999.261643609248,-0.027125477935818765,68.425,29.20023103539891,1998.0258085971705
2026-07-05T06:43:00+00:00,1783233780000,9997.84225659609,7999.261643609248,-0.021577434039099508,68.444,29.20023103539891,1998.580612986843
2026-07-05T06:44:00+00:00,1783233840000,9997.46265359263,7999.261643609248,-0.025373464073685792,68.431,29.20023103539891,1998.2010099833828
2026-07-05T06:45:00+00:00,1783233900000,9998.601462603012,7999.261643609248,-0.01398537396988253,68.47,29.20023103539891,1999.3398189937634
2026-07-05T06:46:00+00:00,1783233960000,9997.98569639965,8498.239269348196,-0.020143036003505976,68.456,21.90818083223464,1499.7464270514545
2026-07-05T06:47:00+00:00,1783234020000,10001.337648066983,8498.239269348196,0.0,68.609,21.90818083223464,1503.098378718786
2026-07-05T06:48:00+00:00,1783234080000,9997.854247314657,8498.239269348196,-0.03482934858217712,68.45,21.90818083223464,1499.614977966461
2026-07-05T06:49:00+00:00,1783234140000,9998.007604580482,8498.239269348196,-0.033295981034542343,68.457,21.90818083223464,1499.7683352322865
2026-07-05T06:50:00+00:00,1783234200000,10002.345424385265,8498.239269348196,0.0,68.655,21.90818083223464,1504.1061550370691
2026-07-05T06:51:00+00:00,1783234260000,10002.761679821078,8498.239269348196,0.0,68.674,21.90818083223464,1504.5224104728818
2026-07-05T06:52:00+00:00,1783234320000,10002.827404363574,8498.239269348196,0.0,68.677,21.90818083223464,1504.5881350153784
2026-07-05T06:53:00+00:00,1783234380000,10002.433057108594,8498.239269348196,-0.003942357885811099,68.659,21.90818083223464,1504.1937877603982
2026-07-05T06:54:00+00:00,1783234440000,9999.103013622094,8498.239269348196,-0.03723338003267518,68.507,21.90818083223464,1500.8637442738984
2026-07-05T06:55:00+00:00,1783234500000,10001.009025354499,8498.239269348196,-0.018178650251243766,68.594,21.90818083223464,1502.7697560063027
2026-07-05T06:56:00+00:00,1783234560000,10000.548953557021,8498.239269348196,-0.02277806778470115,68.573,21.90818083223464,1502.3096842088257
2026-07-05T06:57:00+00:00,1783234620000,10001.052841716164,8498.239269348196,-0.017740610486149944,68.596,21.90818083223464,1502.8135723679673
2026-07-05T06:58:00+00:00,1783234680000,10000.851758400886,9000.746474229269,-0.019750875255786227,68.596,14.579644354942221,1000.1052841716166
2026-07-05T06:59:00+00:00,1783234740000,10000.851758400886,9000.746474229269,-0.019750875255786227,68.596,14.579644354942221,1000.1052841716166
2026-07-05T07:00:00+00:00,1783234800000,10001.0412937775,9000.746474229269,-0.017856057231324662,68.609,14.579644354942221,1000.2948195482307
2026-07-05T07:01:00+00:00,1783234860000,10000.95781159539,9500.78913198668,-0.0186906430812539,68.625,7.288432489744425,500.16867960871116
